"Sepal_Length","Petal_Length"
"Fully Meets","45395"
"Fully Meets","62385"
"Fully Meets","68407"
"Fully Meets","61349"
"Fully Meets","105688"
"Fully Meets","54132"
"Fully Meets","55315"
"Fully Meets","62810"
"Fully Meets","63291"
"Fully Meets","62659"
"Fully Meets","55688"
"Fully Meets","83667"
"PIP","55800"
"Fully Meets","58207"
"Needs Improvement","157000"
"Exceeds","72460"
"Fully Meets","72106"
"Fully Meets","52599"
"Fully Meets","63430"
"Fully Meets","74417"
"Fully Meets","57575"
"Fully Meets","87921"
"Fully Meets","50470"
"Fully Meets","46664"
"Fully Meets","48495"
"Exceeds","52984"
"Fully Meets","63695"
"Fully Meets","62061"
"Fully Meets","66738"
"PIP","52674"
"Fully Meets","71966"
"Fully Meets","63051"
"Exceeds","47414"
"Needs Improvement","53060"
"Fully Meets","68829"
"Fully Meets","63515"
"Exceeds","108987"
"Fully Meets","93093"
"Needs Improvement","53564"
"Needs Improvement","60270"
"Fully Meets","45998"
"Exceeds","57954"
"Fully Meets","74669"
"Fully Meets","74226"
"Exceeds","93554"
"Fully Meets","64724"
"Fully Meets","47001"
"Fully Meets","61844"
"Fully Meets","46799"
"Fully Meets","59472"
"Fully Meets","46430"
"Fully Meets","83363"
"Fully Meets","95920"
"Fully Meets","61729"
"Fully Meets","61809"
"Fully Meets","45115"
"Exceeds","46738"
"Fully Meets","64971"
"Fully Meets","55578"
"Fully Meets","50428"
"Needs Improvement","61422"
"Exceeds","63353"
"Fully Meets","89883"
"Fully Meets","120000"
"Fully Meets","150290"
"Fully Meets","60627"
"Fully Meets","53180"
"Fully Meets","140920"
"Fully Meets","148999"
"Fully Meets","86214"
"Needs Improvement","47750"
"Fully Meets","46428"
"Fully Meets","57975"
"Fully Meets","88527"
"Fully Meets","56147"
"Fully Meets","50923"
"Fully Meets","50750"
"Fully Meets","52087"
"Fully Meets","87826"
"Fully Meets","51920"
"Fully Meets","63878"
"Exceeds","60656"
"Needs Improvement","72992"
"Fully Meets","55000"
"Fully Meets","58939"
"Fully Meets","66593"
"Fully Meets","87565"
"PIP","64021"
"Fully Meets","65714"
"Exceeds","62425"
"Fully Meets","47961"
"PIP","58273"
"Fully Meets","63003"
"Fully Meets","61355"
"Fully Meets","60120"
"Fully Meets","63682"
"Fully Meets","63025"
"Fully Meets","59238"
"Exceeds","92989"
"Fully Meets","90100"
"Fully Meets","60754"
"Fully Meets","72202"
"Fully Meets","58370"
"Fully Meets","48413"
"Fully Meets","67176"
"Fully Meets","56339"
"Exceeds","64397"
"Needs Improvement","63025"
"Fully Meets","75281"
"Fully Meets","100416"
"Fully Meets","74813"
"Fully Meets","76029"
"Fully Meets","57859"
"Exceeds","58523"
"Fully Meets","88976"
"Fully Meets","55875"
"Fully Meets","113999"
"Exceeds","49773"
"Fully Meets","62068"
"Fully Meets","66541"
"Fully Meets","80512"
"Needs Improvement","50274"
"Fully Meets","84903"
"Fully Meets","107226"
"Fully Meets","58371"
"Fully Meets","55140"
"Fully Meets","58062"
"Fully Meets","59728"
"Exceeds","70507"
"Fully Meets","60446"
"Fully Meets","65893"
"PIP","48513"
"Exceeds","220450"
"Fully Meets","89292"
"Fully Meets","45046"
